Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power bhp,Max Power rpm,Max Torque Nm,Max Torque rpm,Make - Model
569000,2016,11471,Petrol,Automatic,Bangalore,Red,First,Individual,998.0,FWD,3695.0,1600.0,1560.0,5.0,35.0,67.0,6000.0,90.0,3500.0,Maruti Suzuki - Celerio ZXi AMT [2019-2020]
449000,2019,3583,Petrol,Manual,Bangalore,Grey,First,Individual,796.0,FWD,3445.0,1515.0,1475.0,5.0,35.0,47.0,6000.0,69.0,3500.0,Maruti Suzuki - Alto 800 LXi (O)
894999,2018,21365,Petrol,Automatic,Bangalore,Grey,First,Individual,1197.0,FWD,3995.0,1745.0,1510.0,5.0,37.0,82.0,6000.0,113.0,4200.0,Maruti Suzuki - Baleno Alpha Automatic
699000,2020,30777,Petrol,Automatic,Bangalore,White,First,Individual,1197.0,FWD,3655.0,1620.0,1675.0,5.0,32.0,82.0,6000.0,113.0,4200.0,Maruti Suzuki - Wagon R ZXi 1.2 AMT
740000,2016,60125,Petrol,Manual,Delhi,Silver,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,122.0,6400.0,154.0,4850.0,Hyundai - Creta 1.6 E Petrol
470000,2020,2169,Petrol,Automatic,Mumbai,Grey,First,Individual,998.0,FWD,3565.0,1520.0,1564.0,5.0,27.0,67.0,5500.0,90.0,3500.0,Maruti Suzuki - S-Presso VXi AMT
765000,2015,60240,Petrol,Automatic,Bangalore,Brown,First,Individual,1197.0,FWD,4384.0,1699.0,1466.0,5.0,55.0,103.0,5000.0,153.0,3800.0,Volkswagen - Vento Comfortline Petrol AT
589000,2018,13772,Petrol,Automatic,Bangalore,White,First,Individual,1086.0,FWD,3610.0,1645.0,1560.0,5.0,35.0,68.0,5500.0,99.0,4500.0,Hyundai - Santro Sportz AMT [2018-2020]
999000,2019,27464,Petrol,Manual,Bangalore,Blue,First,Individual,998.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,118.0,6000.0,172.0,1500.0,Hyundai - Venue SX 1.0 (O) Petrol [2019-2020]
370000,2019,47377,CNG,Manual,Delhi,Grey,First,Individual,998.0,FWD,3545.0,1490.0,1475.0,4.0,60.0,58.0,6000.0,78.0,3500.0,Maruti Suzuki - Alto LXi CNG
325000,2013,23086,Petrol,Manual,Mumbai,Grey,First,Individual,1197.0,FWD,3775.0,1680.0,1620.0,5.0,43.0,85.0,6000.0,113.0,4500.0,Maruti Suzuki - Ritz Zxi BS-IV
1175000,2019,36313,Petrol,Manual,Mumbai,Grey,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,122.0,6400.0,154.0,4850.0,Hyundai - Creta 1.6 SX Plus Petrol
351000,2014,39276,Petrol,Manual,Mumbai,Red,First,Individual,1198.0,FWD,3610.0,1680.0,1500.0,5.0,35.0,87.0,6000.0,109.0,4500.0,Honda - Brio V MT
551000,2015,47752,Petrol,Manual,Mumbai,White,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,6000.0,115.0,4000.0,Hyundai - Elite i20 Asta 1.2
819999,2018,27963,Petrol,Manual,Delhi,White,First,Individual,1199.0,FWD,3999.0,1734.0,1601.0,5.0,40.0,89.0,6000.0,110.0,4800.0,Honda - WR-V VX MT Petrol
990000,2020,24013,Petrol,Manual,Mumbai,Blue,First,Individual,998.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,118.0,6000.0,172.0,1500.0,Hyundai - Venue SX 1.0 Turbo iMT
925000,2016,66000,Diesel,Automatic,Raipur,Black,First,Individual,1582.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,126.0,4000.0,265.0,1900.0,Hyundai - Creta 1.6 SX Plus AT
535000,2015,28000,Petrol,Manual,Mumbai,Silver,First,Individual,999.0,FWD,3999.0,1765.0,1708.0,5.0,52.0,124.0,6000.0,170.0,1400.0,Ford - Ecosport Titanium+ 1.0L EcoBoost
860000,2013,67000,Petrol,Automatic,Mumbai,Brown,First,Individual,,,,,,,,,,,,Honda - CR-V 2.4 AT
145000,2009,72000,CNG,Manual,Kanpur,Silver,Second,Individual,1086.0,FWD,3565.0,1525.0,1590.0,5.0,35.0,62.0,5500.0,96.0,3000.0,Hyundai - Santro GL (CNG)
409000,2018,27069,Petrol,Manual,Mumbai,White,First,Individual,1199.0,FWD,3746.0,1647.0,1535.0,5.0,35.0,84.0,6000.0,114.0,3500.0,Tata - Tiago Revotron XE [2016-2019]
490000,2018,43000,Diesel,Manual,Patna,White,First,Individual,1047.0,FWD,3992.0,1677.0,1537.0,5.0,35.0,69.0,4000.0,140.0,1800.0,Tata - Tigor Revotorq XT
1900000,2019,71000,Diesel,Manual,Mumbai,Bronze,First,Individual,2393.0,RWD,4735.0,1830.0,1795.0,8.0,55.0,148.0,3400.0,343.0,1400.0,Toyota - Innova 2.4 G 8 STR [2016-2017]
3850000,2017,45600,Diesel,Automatic,Mumbai,Black,Second,Individual,2143.0,AWD,4656.0,1890.0,1639.0,5.0,66.0,168.0,3000.0,400.0,1400.0,Mercedes-Benz - GLC 220 d Progressive
1125000,2018,60000,Diesel,Manual,Patna,White,First,Individual,1582.0,FWD,4270.0,1780.0,1665.0,5.0,55.0,126.0,4000.0,260.0,1500.0,Hyundai - Creta SX 1.6 CRDi (O)
2300000,2014,105101,Diesel,Automatic,Vadodara,White,First,Individual,2143.0,AWD,4804.0,2141.0,1796.0,5.0,70.0,203.0,4200.0,500.0,1600.0,Mercedes-Benz - M-Class ML 250 CDI
1095000,2016,45000,Petrol,Automatic,Mumbai,Black,First,Individual,1798.0,FWD,4620.0,1775.0,1475.0,5.0,55.0,138.0,6400.0,173.0,4000.0,Toyota - Corolla Altis VL AT Petrol
1575000,2013,66000,Diesel,Automatic,Hyderabad,White,First,Individual,1968.0,FWD,4701.0,1826.0,1427.0,5.0,63.0,177.0,4200.0,380.0,1750.0,Audi - A4 2.0 TDI (177bhp) Premium Plus
2400000,2010,34105,Petrol,Automatic,Mumbai,Grey,First,Individual,1796.0,RWD,4082.0,1777.0,1297.0,2.0,70.0,165.0,5500.0,240.0,3000.0,Mercedes-Benz - SLK-Class SLK 200 K
525000,2015,68397,Petrol,Manual,Patna,Gold,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,6000.0,115.0,4000.0,Hyundai - Elite i20 Asta 1.2
625000,2015,65000,Diesel,Manual,Yamunanagar,White,Second,Individual,2498.0,AWD,3920.0,1726.0,1930.0,6.0,60.0,105.0,3800.0,247.0,1800.0,Mahindra - Thar CRDe 4x4 AC
605000,2019,27469,Petrol,Manual,Delhi,Silver,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,83.0,6000.0,115.0,4000.0,Maruti Suzuki - Baleno Delta 1.2
412000,2016,41058,Petrol,Automatic,Delhi,Silver,First,Individual,998.0,FWD,3600.0,1600.0,1560.0,5.0,35.0,67.0,6000.0,90.0,3500.0,Maruti Suzuki - Celerio VXi AMT
625000,2016,51330,Diesel,Manual,Mumbai,Brown,First,Individual,1248.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,89.0,4000.0,200.0,1750.0,Maruti Suzuki - Ciaz VDi SHVS
511000,2015,45969,Petrol,Manual,Mumbai,Silver,First,Individual,1373.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,91.0,6000.0,130.0,4000.0,Maruti Suzuki - Ciaz VXi
1150000,2017,66602,Diesel,Automatic,Mumbai,Grey,First,Individual,1582.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,126.0,4000.0,265.0,1900.0,Hyundai - Creta SX Plus 1.6 AT CRDI
885000,2016,57983,Petrol,Manual,Mumbai,White,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,122.0,6400.0,154.0,4850.0,Hyundai - Creta SX Plus 1.6  Petrol
470000,2019,11183,Petrol,Automatic,Mumbai,Silver,First,Individual,999.0,FWD,3679.0,1579.0,1478.0,5.0,28.0,67.0,5500.0,91.0,4250.0,Renault - Kwid 1.0 RXT AMT Opt
1611000,2019,46301,Diesel,Manual,Mumbai,White,First,Individual,1956.0,FWD,4655.0,1835.0,1760.0,5.0,60.0,169.0,3750.0,350.0,1750.0,MG - Hector Sharp 2.0 Diesel [2019-2020]
475000,2017,34867,Petrol,Automatic,Mumbai,Silver,Second,Individual,1199.0,FWD,3746.0,1647.0,1535.0,5.0,35.0,84.0,6000.0,114.0,3500.0,Tata - Tiago Revotron XZA [2017-2019]
865000,2015,43634,Diesel,Manual,Delhi,Silver,First,Individual,2494.0,RWD,4585.0,1765.0,1760.0,7.0,55.0,101.0,3600.0,200.0,1200.0,Toyota - Innova 2.5 GX BS IV 7 STR
3800000,2018,9512,Diesel,Automatic,Mumbai,Blue,First,Corporate,1995.0,AWD,4657.0,1881.0,1678.0,5.0,67.0,190.0,4000.0,400.0,1750.0,BMW - X3 xDrive 20d Luxury Line [2018-2020]
2475000,2020,11293,Diesel,Automatic,Mumbai,White,First,Individual,1956.0,AWD,4395.0,1818.0,1640.0,5.0,60.0,171.0,3750.0,350.0,1750.0,Jeep - Compass Limited Plus 2.0 Diesel 4x4 AT
400000,2014,78000,Diesel,Manual,Gurgaon,White,Second,Individual,2179.0,RWD,4430.0,1817.0,1975.0,8.0,60.0,120.0,4000.0,290.0,1800.0,Mahindra - Scorpio SLE BS-IV
440000,2016,50374,Petrol,Manual,Vadodara,White,First,Individual,1198.0,FWD,3610.0,1680.0,1500.0,5.0,35.0,87.0,6000.0,109.0,4500.0,Honda - Brio S MT
2800000,2017,15900,Petrol,Automatic,Delhi,White,First,Individual,1998.0,RWD,4633.0,1811.0,1429.0,5.0,57.0,181.0,5000.0,270.0,1350.0,BMW - 3-Series 320i Luxury Line
645000,2017,64000,Petrol,Manual,Mumbai,White,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,117.0,6600.0,145.0,4600.0,Honda - City V Petrol [2017-2019]
365000,2013,78000,Diesel,Manual,Jaipur,Silver,First,Individual,1199.0,FWD,3970.0,1682.0,1453.0,5.0,45.0,74.0,4200.0,180.0,2000.0,Volkswagen - Polo Highline1.2L (D)
1044999,2021,24000,Petrol,Manual,Mumbai,Silver,First,Individual,1462.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,103.0,6000.0,138.0,4400.0,Maruti Suzuki - Vitara Brezza ZXi Plus
515000,2019,40310,Petrol,Manual,Pune,Grey,Second,Individual,1196.0,RWD,3675.0,1475.0,1800.0,7.0,40.0,73.0,6000.0,101.0,3000.0,Maruti Suzuki - Eeco 7 STR [2019-2020]
455000,2015,69700,Petrol,Automatic,Mumbai,Blue,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,79.0,6000.0,112.0,4000.0,Hyundai - Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016]
1800000,2012,74073,Diesel,Automatic,Hyderabad,Black,First,Individual,1995.0,AWD,4648.0,1881.0,1661.0,5.0,67.0,184.0,4000.0,380.0,1750.0,BMW - X3 xDrive20d
3499000,2019,73000,Diesel,Automatic,Mumbai,White,First,Individual,2755.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,174.0,3400.0,450.0,1600.0,Toyota - Fortuner 2.8 4x2 AT [2016-2020]
190000,2006,130000,Petrol,Manual,Deoghar,Maroon,Third,Individual,1799.0,FWD,4545.0,1750.0,1450.0,5.0,50.0,130.0,6300.0,171.62,4300.0,Honda - Civic 1.8S MT
1250000,2012,50000,Diesel,Automatic,Mumbai,White,First,Individual,,,,,,,,,,,,Audi - A4 2.0 TDI (143 bhp)
775000,2021,24000,Petrol,Automatic,Agra,Grey,First,Individual,1197.0,FWD,3845.0,1735.0,1530.0,5.0,37.0,89.0,6000.0,113.0,4400.0,Maruti Suzuki - Swift ZXi Plus AMT
825000,2021,43000,Diesel,Manual,Agra,White,First,Individual,1493.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,99.0,4000.0,240.0,1500.0,Hyundai - Elite i20 Sportz 1.5 MT Diesel
2250000,2016,40500,Diesel,Automatic,Goa,White,First,Individual,1968.0,FWD,4456.0,1796.0,1416.0,5.0,50.0,141.0,3500.0,320.0,1750.0,Audi - A3 35 TDI Technology + Sunroof
865000,2017,49013,Petrol,Automatic,Mumbai,Grey,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,117.0,6600.0,145.0,4600.0,Honda - City V CVT Petrol [2017-2019]
299000,2013,64983,Diesel,Manual,Mumbai,Red,First,Individual,1399.0,FWD,3795.0,1680.0,1427.0,5.0,45.0,68.0,4000.0,160.0,2000.0,Ford - Figo Duratorq Diesel Titanium 1.4
570000,2017,92270,Petrol,Manual,Mumbai,Brown,First,Individual,1199.0,FWD,3955.0,1694.0,1544.0,5.0,40.0,89.0,6000.0,110.0,4800.0,Honda - Jazz VX Petrol
385000,2013,65000,Petrol,Manual,Mumbai,White,First,Individual,1198.0,FWD,3970.0,1682.0,1453.0,5.0,45.0,74.0,5400.0,110.0,3750.0,Volkswagen - Polo Highline1.2L (P)
350000,2014,110000,Diesel,Manual,Warangal,Black,First,Individual,1498.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,99.0,3600.0,200.0,1750.0,Honda - Amaze 1.5 SX i-DTEC
2345000,2017,47000,Petrol,Automatic,Delhi,Brown,First,Individual,2494.0,FWD,4825.0,1825.0,1480.0,5.0,70.0,179.0,6000.0,233.0,4100.0,Toyota - Camry 2.5L AT
1650000,2022,10000,Petrol,Automatic,Jalandhar,Black,First,Individual,1997.0,AWD,3985.0,1820.0,1844.0,4.0,57.0,150.0,5000.0,320.0,1500.0,Mahindra - Thar LX 4-STR Hard Top Petrol AT
1100000,2011,51500,Diesel,Automatic,Hyderabad,Black,Second,Individual,2143.0,RWD,4596.0,1770.0,1447.0,5.0,66.0,207.0,4200.0,500.0,1600.0,Mercedes-Benz - C-Class 250 CDI Elegance
2900000,2018,35000,Diesel,Automatic,Pune,White,First,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,184.0,3500.0,380.0,1750.0,Audi - Q3 35 TDI quattro Premium Plus
545000,2017,61518,Petrol,Manual,Noida,Red,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,83.0,6000.0,115.0,4000.0,Maruti Suzuki - Baleno Sigma 1.2
2990000,2018,34000,Diesel,Automatic,Delhi,White,First,Corporate,1995.0,RWD,4454.0,2044.0,1545.0,5.0,63.0,184.0,4000.0,350.0,1750.0,BMW - X1 sDrive20d xLine
615000,2017,36058,Petrol,Manual,Mumbai,Silver,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,83.0,6000.0,115.0,4000.0,Maruti Suzuki - Baleno Zeta 1.2
890000,2016,88000,Diesel,Automatic,Ahmedabad,Silver,First,Individual,1582.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,126.0,4000.0,265.0,1900.0,Hyundai - Creta 1.6 SX Plus AT
430000,2015,98112,Petrol,Manual,Mumbai,Brown,First,Individual,1598.0,FWD,4384.0,1699.0,1466.0,5.0,55.0,103.0,5250.0,153.0,3800.0,Volkswagen - Vento Comfortline Petrol
1650000,2013,58000,Diesel,Automatic,Bangalore,Silver,First,Individual,2143.0,RWD,4596.0,1770.0,1447.0,5.0,66.0,170.0,4200.0,400.0,2800.0,Mercedes-Benz - C-Class 220 BlueEfficiency
1599000,2015,92355,Petrol,Automatic,Mumbai,Silver,First,Individual,2494.0,FWD,4825.0,1825.0,1480.0,5.0,65.0,202.0,5700.0,270.0,4500.0,Toyota - Camry Hybrid
691000,2019,16652,Petrol,Manual,Ahmedabad,White,First,Individual,1197.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,89.0,6000.0,113.0,4400.0,Maruti Suzuki - DZire VXi
650000,2016,76584,Diesel,Manual,Mumbai,White,First,Individual,1461.0,FWD,4331.0,1822.0,1671.0,5.0,50.0,108.0,3900.0,248.0,2250.0,Nissan - Terrano XV D THP 110 PS
415000,2015,42500,CNG,Manual,Mumbai,Brown,First,Individual,998.0,FWD,3599.0,1495.0,1700.0,5.0,35.0,58.0,6200.0,77.0,3500.0,Maruti Suzuki - Wagon R LXI CNG
669000,2016,70000,Diesel,Manual,Mohali,Grey,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,89.0,4000.0,200.0,1750.0,Maruti Suzuki - Vitara Brezza LDi (O) [2016-2018]
2950000,2015,84700,Diesel,Automatic,Navi Mumbai,Black,Second,Individual,2993.0,AWD,4886.0,1938.0,1762.0,5.0,,258.0,4000.0,560.0,1500.0,BMW - X5 xDrive30d Pure Experience (5 Seater)
3900000,2018,83400,Diesel,Automatic,Hyderabad,White,Second,Individual,,,,,,,,,,,,Mercedes-Benz - GLC 220 d Sport
16200000,2022,2766,Petrol,Automatic,Mumbai,Blue,First,Individual,2995.0,AWD,4931.0,1983.0,1676.0,4.0,75.0,335.0,5300.0,450.0,1340.0,Porsche - Cayenne Coupe Platinum Edition
5100000,2017,56000,Petrol,Automatic,Ghaziabad,White,Second,Individual,1991.0,RWD,4686.0,1810.0,1409.0,4.0,59.0,241.0,5500.0,370.0,1300.0,Mercedes-Benz - C-Class Cabriolet C 300
525000,2015,68766,Petrol,Manual,Mumbai,Silver,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,6000.0,115.0,4000.0,Hyundai - Elite i20 Magna 1.2
750000,2018,16339,Petrol,Manual,Kolkata,Black,First,Individual,1591.0,FWD,4375.0,1700.0,1475.0,5.0,43.0,121.0,6300.0,158.0,4200.0,Hyundai - Verna 1.6 VTVT SX
445000,2016,63882,Petrol,Manual,Mumbai,Bronze,First,Individual,1198.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,87.0,6000.0,109.0,4500.0,Honda - Amaze 1.2 SX i-VTEC
493000,2012,28732,Petrol,Manual,Zirakpur,Silver,First,Individual,1798.0,FWD,4540.0,1760.0,1480.0,5.0,55.0,138.0,6400.0,173.0,4000.0,Toyota - Corolla Altis 1.8 G
611000,2017,51349,Petrol,Manual,Nagpur,Red,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,6000.0,115.0,4000.0,Hyundai - Elite i20 Sportz 1.2 (O)
475000,2014,61866,Petrol,Automatic,Thane,White,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,79.0,6000.0,112.0,4000.0,Hyundai - Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016]
925000,2017,29401,Petrol,Manual,Mumbai,Grey,First,Individual,1591.0,FWD,4270.0,1780.0,1630.0,5.0,60.0,122.0,6400.0,154.0,4850.0,Hyundai - Creta SX Plus 1.6  Petrol
1325000,2012,98580,Diesel,Automatic,Goa,White,First,Individual,1968.0,FWD,4915.0,1874.0,1455.0,5.0,65.0,177.0,3750.0,380.0,1750.0,Audi - A6 2.0 TDI Premium
3900000,2021,8000,Diesel,Automatic,Delhi,Black,First,Individual,1995.0,RWD,4454.0,2044.0,1545.0,5.0,63.0,184.0,4000.0,350.0,1750.0,BMW - X1 sDrive20d xLine
1299000,2020,31348,Diesel,Manual,Bangalore,White,First,Individual,1497.0,FWD,3995.0,1821.0,1627.0,5.0,42.0,115.0,3750.0,300.0,1500.0,Mahindra - XUV300 W8 (O) 1.5 Diesel
580000,2018,28851,Diesel,Manual,Kolkata,Blue,First,Corporate,1248.0,FWD,3840.0,1735.0,1530.0,5.0,37.0,74.0,4000.0,190.0,2000.0,Maruti Suzuki - Swift ZDi Plus
229000,2013,38175,Petrol,Manual,Kolkata,Blue,First,Individual,,,,,,,,,,,,Honda - Brio S MT
1575000,2021,8519,Petrol,Manual,Mumbai,Blue,First,Individual,1997.0,AWD,3985.0,1820.0,1844.0,4.0,57.0,150.0,5000.0,300.0,1250.0,Mahindra - Thar LX 4-STR Hard Top Petrol MT
375000,2011,78000,Petrol,Manual,Pune,Bronze,First,Individual,1497.0,FWD,4420.0,1695.0,1480.0,5.0,42.0,118.0,6600.0,146.0,4600.0,Honda - City 1.5 S MT
2250000,2015,48000,Diesel,Automatic,Mumbai,White,First,Individual,2143.0,RWD,4879.0,1854.0,1474.0,5.0,80.0,204.0,4200.0,500.0,1600.0,Mercedes-Benz - E-Class E 250 CDI Avantgarde
1400000,2014,143000,Diesel,Automatic,Faridabad,White,Second,Individual,2982.0,RWD,4705.0,1840.0,1850.0,7.0,80.0,169.0,3600.0,360.0,1400.0,Toyota - Fortuner 3.0 4x2 AT
425000,2017,39000,Diesel,Manual,Ranchi,Silver,First,Commercial Registration,1248.0,FWD,3995.0,1706.0,1570.0,5.0,44.0,74.0,4000.0,190.0,1750.0,Tata - Zest XM 75 PS Diesel
425000,2014,24000,Petrol,Automatic,Mumbai,Beige,Second,Individual,1598.0,FWD,4386.0,1699.0,1466.0,5.0,55.0,104.0,5250.0,153.0,3800.0,Skoda - Rapid Ambition 1.6 MPI AT Plus
250000,2015,62000,Petrol,Manual,Kanpur,Maroon,Second,Individual,796.0,FWD,3395.0,1490.0,1475.0,5.0,35.0,47.0,6000.0,69.0,3500.0,Maruti Suzuki - Alto 800 Lxi
425000,2012,78000,Diesel,Manual,Jalandhar,White,Second,Individual,1248.0,FWD,4265.0,1695.0,1685.0,7.0,45.0,89.0,4000.0,200.0,1750.0,Maruti Suzuki - Ertiga VDi
120000,2009,48500,LPG,Manual,Lucknow,Grey,Fourth,Individual,1086.0,,3565.0,1525.0,1590.0,5.0,35.0,63.0,5500.0,89.0,3000.0,Hyundai - Santro GL LPG
235000,2014,82000,Diesel,Manual,Ludhiana,White,Second,Individual,1399.0,FWD,3795.0,1680.0,1427.0,5.0,45.0,68.0,4000.0,160.0,2000.0,Ford - Figo Duratorq Diesel ZXI 1.4
3050000,2020,40910,Diesel,Automatic,Bangalore,White,First,Individual,1968.0,FWD,4456.0,1796.0,1416.0,5.0,50.0,141.0,3500.0,320.0,1750.0,Audi - A3 35 TDI Technology + Sunroof
2145000,2020,10290,Diesel,Manual,Bangalore,Red,First,Individual,1956.0,FWD,4598.0,1894.0,1706.0,5.0,50.0,168.0,3750.0,350.0,1750.0,Tata - Harrier XZ Plus
1245000,2021,10530,Petrol,Automatic,Bangalore,Red,First,Individual,998.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,118.0,6000.0,172.0,1500.0,Hyundai - Elite i20 Asta (O) 1.0 Turbo DCT
549000,2015,61900,Petrol,Manual,Gurgaon,Silver,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,82.0,6000.0,115.0,4000.0,Hyundai - Elite i20 Asta 1.2
484999,2013,78000,Diesel,Manual,Bangalore,White,Second,Individual,1199.0,FWD,3970.0,1682.0,1453.0,5.0,45.0,74.0,4200.0,180.0,2000.0,Volkswagen - Polo Highline1.2L (D)
415000,2014,57402,Petrol,Manual,Delhi,Grey,First,Individual,1197.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,85.0,6000.0,114.0,4000.0,Maruti Suzuki - Swift DZire VXI
200000,2013,57000,CNG,Manual,Kanpur,White,First,Individual,1086.0,FWD,3565.0,1525.0,1590.0,5.0,35.0,62.0,5500.0,96.0,3000.0,Hyundai - Santro GL (CNG)
375000,2015,87500,Petrol,Manual,Gurgaon,Grey,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,81.0,6000.0,114.0,4000.0,Hyundai - Grand i10 Sportz 1.2 Kappa VTVT [2013-2016]
1375000,2021,16000,Electric,Automatic,Mumbai,White,First,Individual,,FWD,3993.0,1811.0,1606.0,5.0,,,,,,Tata - Nexon EV XZ Plus
1875000,2022,18000,Petrol,Automatic,Delhi,Black,First,Individual,1353.0,FWD,4300.0,1790.0,1635.0,5.0,50.0,138.0,6000.0,242.0,1500.0,Hyundai - Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022]
2950000,2020,10700,Petrol,Automatic,Ahmedabad,White,First,Individual,1984.0,AWD,4318.0,1805.0,1548.0,5.0,55.0,188.0,4200.0,320.0,1500.0,Audi - Q2 Premium Plus I 40 TFSI quattro
4900000,2018,78000,Diesel,Automatic,Chandigarh,Black,First,Individual,2967.0,AWD,5052.0,1968.0,1740.0,7.0,75.0,245.0,2910.0,600.0,1500.0,Audi - Q7 45 TDI Premium Plus
